playlist_id,title,permalink,permalink_url,created_at,last_modified,description,track_count,tracks_id,duration,embeddable_by,genre,likes_count,user_id,license,reposts_count,sharing,tag_list,label_name,managed_by_feeds,public,purchase_title,purchase_url,release_date,secret_token,set_type,uri,artwork_url,is_album,published_at,display_date
106653440,Mile Marker: Surfer Blood,mile-marker-surfer-blood,https://soundcloud.com/stealthistrack/sets/mile-marker-surfer-blood,2015-05-11T17:14:52Z,2015-05-11T17:14:53Z,"Download Surfer Blood's ""Blair Witch,"" ""Demon Dance"" and ""Fast Jabroni,"" recorded at Uneven Studio for a Mile Marker session with heyreverb.com on Oct. 16, 2013.",0,None,582974,all,Denver,0,1740474,all-rights-reserved,0,public,"""Uneven Studio"" ""Mile Marker"" Reverb heyreverb.com ""Surfer Blood""",None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/106653440,https://i1.sndcdn.com/artworks-000116419531-cvldyb-large.jpg,FALSE,,2015-05-11T17:14:52Z
94921860,UMS 2015,ums-2015,https://soundcloud.com/stealthistrack/sets/ums-2015,2015-04-02T15:49:33Z,2015-04-02T16:00:38Z,,46,67721296-77284712-177246603-98416085-174708513-153599942-176641584-176775445-168388145-163006631-41070908-23653075-57702354-105614317-154286720-113378186-135378346-189230022-179613014-3607457-148718430-155080546-204281376-148388256-199890172-103750839-204360264-201723579-193893435-205467230-170236993-202102058-47998244-207220706-197677481-180298907-175252055-201262350-202203758-178124789-84912621-119052611-150663591-191863867-201314498-134468431,12818941,none,None,21,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/94921860,,FALSE,,2015-04-02T15:49:33Z
33509115,"Steal This Track - May 5, 2014",steal-this-track-may-5-2014,https://soundcloud.com/stealthistrack/sets/steal-this-track-may-5-2014,2014-05-05T05:09:26Z,2015-10-13T14:51:45Z,,0,None,244058,me,Steal This Track,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-05-04T00:00:00Z,None,None,https://api.soundcloud.com/playlists/33509115,https://i1.sndcdn.com/artworks-000078487135-j0f2mu-large.jpg,FALSE,,2014-05-05T05:09:26Z
32764905,"Steal This Track - April 30, 2014",steal-this-track-april-30-2014,https://soundcloud.com/stealthistrack/sets/steal-this-track-april-30-2014,2014-04-30T03:56:43Z,2015-10-13T14:51:28Z,,0,None,213282,me,Steal This Track,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-04-29T00:00:00Z,None,None,https://api.soundcloud.com/playlists/32764905,https://i1.sndcdn.com/artworks-000077998118-9uuctd-large.jpg,FALSE,,2014-04-30T03:56:43Z
32539172,"Steal This Track - April 28, 2014",steal-this-track-april-28-2014,https://soundcloud.com/stealthistrack/sets/steal-this-track-april-28-2014,2014-04-28T18:51:28Z,2015-10-13T14:51:21Z,,0,None,226292,me,None,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-04-28T00:00:00Z,None,None,https://api.soundcloud.com/playlists/32539172,https://i1.sndcdn.com/artworks-000077851484-2n1osr-large.jpg,FALSE,,2014-04-28T18:51:28Z
32076858,Local Natives Mile Marker,local-natives-mile-marker-1,https://soundcloud.com/stealthistrack/sets/local-natives-mile-marker-1,2014-04-25T15:29:51Z,2014-04-25T15:33:31Z,,0,None,615422,all,local natives,0,1740474,all-rights-reserved,0,public,"""mile marker"" Denver Reverb",,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/32076858,,FALSE,,2014-04-25T15:29:51Z
31824079,"Steal This Track - April 23, 2014",steal-this-track-april-23-2014,https://soundcloud.com/stealthistrack/sets/steal-this-track-april-23-2014,2014-04-23T19:42:20Z,2015-10-13T14:51:02Z,,0,None,224099,me,Steal This Track,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-04-23T00:00:00Z,None,None,https://api.soundcloud.com/playlists/31824079,https://i1.sndcdn.com/artworks-000077388644-0nx4vs-large.jpg,FALSE,,2014-04-23T19:42:20Z
31533846,"Steal This Track - April 21, 2014",steal-this-track-april-21-2014,https://soundcloud.com/stealthistrack/sets/steal-this-track-april-21-2014,2014-04-21T18:40:06Z,2015-10-13T14:50:55Z,,0,None,185147,me,Steal This Track,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-04-21T00:00:00Z,None,None,https://api.soundcloud.com/playlists/31533846,https://i1.sndcdn.com/artworks-000077184335-fh7wh8-large.jpg,FALSE,,2014-04-21T18:40:06Z
30841659,"Steal This Track - April 16, 2013",steal-this-track-april-16-2013,https://soundcloud.com/stealthistrack/sets/steal-this-track-april-16-2013,2014-04-16T15:37:58Z,2015-10-13T14:50:39Z,,0,None,258427,me,Steal This Track,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-04-16T00:00:00Z,None,None,https://api.soundcloud.com/playlists/30841659,https://i1.sndcdn.com/artworks-000076707596-8c321e-large.jpg,FALSE,,2014-04-16T15:37:58Z
30586344,"Steal This Track - April 14, 2014",steal-this-track-april-14-2014,https://soundcloud.com/stealthistrack/sets/steal-this-track-april-14-2014,2014-04-14T18:16:51Z,2015-10-13T14:50:30Z,,0,None,214641,me,None,0,1740474,all-rights-reserved,0,public,None,,FALSE,TRUE,None,None,2014-04-14T00:00:00Z,None,None,https://api.soundcloud.com/playlists/30586344,https://i1.sndcdn.com/artworks-000076526209-9syk2t-large.jpg,FALSE,,2014-04-14T18:16:51Z
