playlist_url,playlist_name,user_name,track_counts,duration,like_counts,reposts_counts,date_release,tags,tracks_author_name
https://soundcloud.com/allindiaradionews/sets/bulletins,Bulletins,airnewsalerts,320,76:57:51,73,4,27-Dec-15,None,"None_नमस्कार।  आकाशवाणी से प्रस्तुत है दोपहर समाचार। 27-12-2015,None_MID-DAY NEWS 27-12-2015,None_नमस्‍कार। आकाशवाणी से प्रस्‍तुत है समाचार संध्‍या।  मुख्य समाचार। 27-12-2015,None_Listen to All India Radio's NEWS‬ At Nine bulletin. 27-12-2015,None_Listen to All India Radio's MORNING NEWS bulletin. 27-12-2015,None_नमस्कार। आकाशवाणी से प्रस्तुत है, समाचार प्रभात। 28-12-2015,None_Listen to All India Radio's MORNING NEWS bulletin. 28-12-2015,None_नमस्कार। आकाशवाणी से प्रस्तुत है, समाचार प्रभात।,None_Listen to All India Radio's MORNING NEWS bulletin.,None_Listen to All India Radio's MORNING NEWS 05-01-2016,None_MORNING NEWS Bulletin - 06-01-2016,None_नमस्कार। आकाशवाणी से प्रस्तुत है, समाचार प्रभात। 06-01-2016,None_नमस्‍कार। आकाशवाणी से प्रस्‍तुत है समाचार संध्‍या। 09-01-2016,None_Listen to All India Radio's NEWS At Nine bulletin. 09-01-2016,None_नमस्‍कार। आकाशवाणी से प्रस्‍तुत है समाचार संध्‍या। 10-01-2016"
https://soundcloud.com/allindiaradionews/sets/pm-mann-ki-baat,PM - Mann Ki Baat,airnewsalerts,6,2:49:48,73,5,30-Aug-15,None,"None_PM Narendra Modi's Mann Ki Baat- 30 August,2015,None_Prime Minister Narendra Modi' Radio program Mann Ki Baat - Episode XII,None_PM Narendra Modi's Mann Ki Baat,None_प्रधानमंत्री नरेन्‍द्र मोदी की ""मन की बात"" :  27th December 2015,None_मन की बात (28 फ़रवरी ),None_PM Modi's Mann Ki Baat - 27th May 2018"
https://soundcloud.com/allindiaradionews/sets/recordings,Recordings,airnewsalerts,3,51:10:00,39,2,14-Aug-15,None,"None_अनेकता में एकता : हिन्द देश के निवासी सभी जन एक है रंग रूप वेश भाषा चाहे अनेक है।,None_सुनिए भारत रत्न, स्वर कोकिला लता मंगेशकर द्वारा गाया गया देशभक्ति गीत ' ऐ मेरे वतन के लोगों ',None_Swami Vivekananda Chicago Speech."
https://soundcloud.com/allindiaradionews/sets/interviews,Interviews,airnewsalerts,15,1:53:07,24,0,5-Jul-15,None,"None_उत्तर प्रदेश सरकार यह साहस नहीं जुटा पाई की भाजपा सांसदों की समस्या सुनती:लक्ष्मीकान्त बाजपेयी,None_Listen to an interview with Union Minister for Women and Child Development Maneka Gandhi.,None_‪Countrywide‬ -An Interview with Union Minister of State for Rural Development, Sudarshan Bhagat.,None_An interview with The Ramon Magsaysay Award winner NGO Goonj founder Anshu Gupta,None_An interview with The Ramon Magsaysay Award winner Sanjiv Chaturvedi.,None_रमन मैगसायसाय पुरस्कार विजेता संजीव चतुर्वेदी के साथ एक साक्षात्कार।,None_रमन मैगसायसाय पुरस्कार विजेता गैर सरकारी संगठन गूँज के संस्थापक अंशु गुप्ता के साथ एक साक्षात्कार।,None_सामयिकी‬ - रमन मैगसायसाय पुरस्कार विजेता संजीव चतुर्वेदी के साथ एक साक्षात्कार।,None_News Analysis‬ -An Interview with Ramon Magasaysay award winner, Sanjiv Chaturvedi.,None_News Analysis‬ - An Interview with Indian Ambassador to Ireland,Radhika Lal Lokesh.,None_Interview with Chief Election Commissioner, Dr. Nasim Zaidi.,None_Countrywide - An Interview with Union Minister of Railways, Suresh Prabhakar Prabhu 25-02-2016,None_सामयिकी : रेल राज्य मंत्री मनोज सिन्हा के साथ एक साक्षात्कार। 25-02-2016,None_Countrywide- An Interview with Union Minister of Steel, Chaudhary Birender Singh. 21-07-2016,None_ज़्यादा ज़्यादा लोग हमारे आकाशवाणी से जुड़ें : डॉ. रमन सिंह, मुख्यमंत्री छत्तीसगढ 09-09-2016"
https://soundcloud.com/allindiaradionews/sets/programs,Programs,airnewsalerts,302,71:41:52,130,6,30-May-15,None,"None_Current Affairs : “Government’s initiatives in environment and pollution control”.,None_News Analysis : “Reservation politics and its impact”.,None_सामयिकी : “आरक्षण की राजनीति और उसका प्रभाव।”,None_India Global:  Program on Belarus,None_सामयिकी‬ : ‪मन की बात‬ में प्रधानमंत्री के सम्बोधन पर बातचीत।,None_‎News Analysis‬ -A discussion on “Prime Minister’s address to the nation in ‪Mann Ki Baat‬”,None_News Analysis: A dialogue on  “Outcome of Prime Minister’s Bangladesh visit”.,None_सामयिकी : “प्रधानमंत्री की बंग्‍लादेश यात्रा की उपलब्धियां” पर एक बातचीत।,None_केंद्रीय पर्यावरण मंत्री प्रकाश जावड़ेकर के साथ "" “एनडीए सरकार के एक वर्ष पूरे होने पर "" बातचीत,None_Spotlight: Interview with Prakash Javdekar on “Completion of 1 year of NDA Govt”,None_सामयिकी: प्रधानमंत्री की ढाका यात्रा और भारत-बंगलादेश संबंध विषय पर चर्चा,None_Countrywide :An interview with Minister of New and Renewable Energy, Power &amp; Coal Piyush Goyal‬.,None_वाद -संवाद :  “योग धर्म या विज्ञान“.,None_सामयिकी: “दिल्ली में मौजूदा राजनीतिक गतिविधियों“,None_Money Talk: “Measures to check growing Non-performing Assets of Banks”."
https://soundcloud.com/allindiaradionews/sets/samayiki,samayiki,airnewsalerts,12,1:56:45,37,1,5-May-15,World,"None_सामयिकी : “संवेदनशील घटनाओं का मीडिया कवरेज” विषय पर एक चर्चा।,None_सामयिकी : ”व्हीसलब्लोअर संरक्षण अधिनियम 2011 में संशोधन” विषय पर एक चर्चा।,None_सामयिकी : “खिलाडि़यों की सुरक्षा की आवश्‍यकता” विषय पर एक चर्चा।,None_सामयिकी : “पैट्रोलियम उत्पादों के मूल्य में वृद्धि” विषय पर एक चर्चा।,None_Samayiki: ”प्रधानमंत्री की मंगोलिया यात्रा की उपलब्धियां”,None_समायिकी: वर्तमान राजनीतिक परिदृश्य में तीसरे मोर्चे की संभावना,None_सामयिकी: श्री एम. वेंकैया नायडू के साथ एक साक्षात्कार,None_सामयिकी : “अंतरिक्ष मिशन में भारत की नई उपलब्धि” पर एक बातचीत।,None_सामायिकी: "" पर्यटकों के लिए ई - वीजा की सुविधा ” विषय पर एक चर्चा।,None_सामयिकीः विमुद्रीकरण और पुराने नोट बदलने की समय सीमा पर चर्चा,None_सामयिकीः हिन्‍दुस्‍तानी शास्‍त्रीय गायिका किशोरी अमोनकर को श्रद्धांजलि,None_सामयिकीः विश्‍वव्‍यापी साइबर हमला पर चर्चा"
https://soundcloud.com/allindiaradionews/sets/spotlight,Spotlight,airnewsalerts,18,4:11:45,131,4,5-May-15,None,"None_सामयिकी : “संवेदनशील घटनाओं का मीडिया कवरेज” विषय पर एक चर्चा।,None_Spotlight: A dialogue on “Media reporting  on sensitive issues”.,None_Spotlight: A dialogue on  “Amendments to Whistleblower Protection  Act – 2011”.,None_Spotlight: A dialogue on  “Need for Protection of Sports Person ”,None_Spotlight: A dialogue on  “Black money in Foreign Banks”.,None_Spotlight: A dialogue on  “Expectations from PM's Mongolia Visit”,None_News Analysis: A  discussion on 'Expectations from Prime Minister’s South Korea visit"".,None_Spotlight: A dialogue on  “Prospects of third front in current political scenario”.,None_Spotlight: An interview with Mr. M. Venkaiah Naidu,None_Spotlight: A discussion on “Need of consensus for full statehood rights to Delhi”,None_Spotlight: Interview with Pankaj Saran, Indian High Commissioner to Bangladesh,None_Spotlight: A dialogue on  “Progress of Monsoon”.,None_Spotlight: Interview with Union Minister of State for Finance, Jayant Sinha.,None_‎News Analysis‬ -A discussion on “India’s new achievement in space mission.”,None_Spotlight: A discussion on  “India-Bangladesh Enclave Swap”."
https://soundcloud.com/allindiaradionews/sets/india-global,India Global,airnewsalerts,3,27:18:00,56,2,22-Nov-14,None,"None_India Global,None_India Global,None_India Global : An Episode on The Republic of Turkey"
https://soundcloud.com/allindiaradionews/sets/mann-ki-baat,Mann Ki Baat,airnewsalerts,7,2:30:16,122,18,3-Oct-14,Recordings,"None_PM Narendra Modi's First Radio Programme: ""Mann Ki Baat"",None_Listen to PM Modi's 'Man ki Baat',None_Prime Minister Narendra Modi's Mann Ki Baat-III,None_MID-DAY NEWS - THE HEADLINES #NEWSonAIR,None_Listen to #MannKiBaat-PM @narendramodi &amp; @BarackObama's radio address to the nation #ObamaModiOnAIR,None_PM Narendra Modi shares Mann Ki Baat‬ with farmers of India.,None_PM Modi's Mann Ki Baat - 27th May 2018"
https://soundcloud.com/allindiaradionews/sets/sports,Sports,airnewsalerts,224,4:01:47,25,0,24-Jun-14,Sports,"None_FIFA : Brazil, Mexico qualify to last 16 stage,None_FIFA WC:Brazil and Mexico qualify to the last-16 stage.,None_FIFA:Football World Cup, Uruguay knock out Italy.,None_Fifa:Lionel Messi scores twice as Argentina top Group-F,None_N Srinivasan becomes first ICC Chairman,None_FIFA WORLD CUP,None_FIFA: Germany, Algeria in 16,None_FIFA World Cup: Brazil, Netherlands, Germany, Argentina, France and Uruguay advance to round of 16,None_FIFA World Cup-Round of 16 begins from tonight,None_Football World Cup: Netherlands and Costa Rica advance to quarterfinals,None_Germany, France advance to World Cup quarterfinals,None_Wimbledon: Nick Kyrgios knocks out World No1 Rafael Nadal,None_Argentina, Belgium enter quarterfinals of Football World Cup,None_Wimbledon 2014: Paes-Stepanek in quarters, Murray out,None_Wimbledon Championships 2014"
