track_url,track_name,user_name,comment_counts,play_counts,like_counts,reposts_counts,date_release,descript,related,duration,tag
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,PUBLIC SPEAK: Discussion on “Healthy and Clean India- India of Gandhiji’s vision”,airnewsalerts,5,6288,30,4,30-Sep-19,"Participants:Dr. Mahesh Chandra Sharma, Writer and Social Thinker andAshok Tandon,Political Analyst.Moderator: Priyanka Arora.","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",34:56:00,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,"Spotlight: Discussion on “Innovation, Techonology &amp; Team Work- Crucial Pillars of development”",airnewsalerts,1,1908,22,2,30-Sep-19,"Participants:Shekhar Iyer, Political Analyst and Shishir Sinha, Journalist","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:49,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,"सामयिकी: ‘‘नवाचार, टेक्नोलोजी और टीम वर्क- विकास के महत्वपूर्ण स्तंभ’’ पर चर्चा।",airnewsalerts,0,1627,14,0,30-Sep-19,"Participants:राजनीतिकविश्लेषक,शेखरअय्यरऔरपत्रकार,शिशिर सिन्‍हा।","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",9:43,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,दोपहर समाचार,airnewsalerts,0,1195,6,0,30-Sep-19,"** प्रधानमंत्री नरेन्‍द्र मोदी ने कहा - नव विचार, तकनीक और मिलकर काम करने की भावना भविष्य के तीन महत्वपूर्ण स्तम्भ। <br>** आईआईटी मदास के दीक्षान्त समारोह को संबोधित करते हुए प्रधानमंत्री ने युवाओं से वैश्विक समस्याओं से निपटने के लिए नये विचार प्रस्‍तुत करने की अपील की। <br>** गृहमंत्री अमित शाह ने कहा - जम्मू-कश्मीर से अनुच्छेद 370 और 35 ए को हटाया जाना केन्द्रीय रिजर्व पुलिस बल के शहीदों के लिए सच्ची श्रद्धांजलि।<br>** बिहार में वर्षा और बाढ़ प्रभावित इलाकों में राहत और बचाव अभियान जोरों पर। <br>** स्कूली शिक्षा गुणवत्ता सूचकांक में केरल प्रथम और राजस्थान द्वितीय स्थान पर।<br>** सुमित नागल ने अर्जेन्टीना के एटीपी चैलेंजर टूर्नामेंट का पुरुष एकल खिताब जीता।","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:55,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,MIDDAY NEWS,airnewsalerts,0,1229,5,0,30-Sep-19,"** Prime Minister Narendra Modi says innovation, technology and team work are the three crucial pillars of tomorrow. <br>** Addressing convocation ceremony at IIT Madras, the Prime Minister calls upon youngsters to find solutions for global problems with innovative ideas.<br>** Home Minister Amit Shah says abrogation of article 370 and 35 A from Jammu and Kashmir is best tribute to the CRPF martyrs.<br>** Relief and rescue operation in full swing in rain affected Bihar.<br>** Kerala leads School Education Quality Index followed by Rajasthan in overall performance. <br>** Sumit Nagal wins men's singles title of ATP Challenger Tournament in Argentina.","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:53,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,MORNING NEWS,airnewsalerts,0,1096,3,0,30-Sep-19,"** Prime Minister Narendra Modi calls upon people to quit tobacco and not harbour misconceptions about e-cigarettes to build a healthy India. <br>** Elections for chairpersons of Block Development Councils in Jammu and Kashmir to be held on 24th October. <br>** Rain and flood severely disrupt normal life in Bihar.<br>** PIO cards to continue as valid travel document till 31st of March next year. <br>** And in Badminton, Indian shuttler Kaushal Dharmamer clinches men's singles title at Maldives International Challenge in Male.","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:44,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,समाचार प्रभात,airnewsalerts,0,1158,3,0,30-Sep-19,** प्रधानमंत्री नरेन्‍द्र मोदी ने लोगों से तम्‍बाकू छोड़ने और स्‍वस्‍थ्‍य भारत के निर्माण के लिए ई-सिगरेट के छलावे में नहीं आने की अपील की।<br>** जम्‍मू-कश्‍मीर में प्रखण्‍ड विकास परिषदों के अध्‍यक्षों का चुनाव 24 अक्‍तूबर को होगा। <br>** बिहार में वर्षा और बाढ़ से जन-जीवन अस्‍त-व्‍यस्‍त।<br>** पीआईओ कार्ड अगले साल 31 मार्च तक भारत में आवागमन के लिए वैध यात्रा दस्‍तावेज के रूप में मान्‍य रहेगा। <br>** बैडमिंटन में कौशल धर्मा मेर ने मॉलदीव इंटरनेशनल चैलेंज बैडमिंटन प्रतियोगिता का खिताब जीता।,"Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:55,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,Spotlight/NewsAnalysis: Prime Minister's Address to the Nation in Mann ki Baat”.,airnewsalerts,0,517,3,0,29-Sep-19,"Participants: Sandeep Phukan, Political Analyst and Sudhi Ranjan Sen, Journalist.","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",13:46,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,News At Nine:,airnewsalerts,0,425,0,0,29-Sep-19,"In Football, India lift SAFF Under-18 Championship title for the first time; defeat Bangaldesh 2-1. And other news","Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:51,News ; Politics
https://soundcloud.com/allindiaradionews/public-speak-discussion-on-healthy-and-clean-india-india-of-gandhijis-vision,Samachar Sandhya,airnewsalerts,0,467,3,0,29-Sep-19,Jammu and Kashmir administration removes restrictions from all 105 police station areas in Kashmir valley. And other news.,"Audioblog 18 (Season 2),Golden Beats  Beyond  Tabla Instrumental By Pandit Subhankar Banerjee,Maharajapuram Santhanam",14:57,News ; Politics
